序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
165,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000821.01.01,上海东方肝胆医院院级临床研究数据集,瘤灶纵径,,SI1121968,,,,,小数,,6,2,cm,,,,,,,
183,LI0000020,120603302fb4a83807bdd1819f862f8c981a1acb453d993def9ea76987c8b92f,Yes,"病理,病理诊断,诊断,现病史,病理检查","东肝,九院,胸科",解剖与病理信息,分化信息,DIFF_INFO,肿瘤细胞的分化程度（高分化、中分化、低分化、未分化），反映恶性程度。,Differentiation Information,分化程度,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.18.00.0000176.01.01,UDE,组织学分级,,SI1120121,,,,,整数,,2,,,,,,,,,
189,LI0000020,120603302fb4a83807bdd1819f862f8c981a1acb453d993def9ea76987c8b92f,Yes,"病理,病理诊断,诊断,现病史,病理检查","东肝,九院,胸科",解剖与病理信息,分化信息,DIFF_INFO,肿瘤细胞的分化程度（高分化、中分化、低分化、未分化），反映恶性程度。,Differentiation Information,分化程度,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0001644.01.01,上海东方肝胆医院院级临床研究数据集,术后病理_分化,,SI1122498,,,,,文本,100,,,,,,,,,,
192,LI0000021,a3664a50007965197907a9ba512f5eb3a1ac5a3e39b20389a113739a73a53c23,Yes,"病理,病理诊断,诊断,现病史","东肝,胸科",解剖与病理信息,AJCC分期,AJCC_STAGE,病理诊断原发性肝癌美国癌症联合委员会分期的详细描述,AJCC Staging,临床分期,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.09.00.0000517.01.01,上海东方肝胆医院院级临床研究数据集,美国癌症联合委员会分期,,SI1122493,,,,,文本,,,,,,,,,,,
279,LI0000038,9a374298a7c3a7aa95052f4abc6055bc536bda057d12e567b8259ba341bd108f,Yes,入院记录,东肝,治疗与操作,治疗开始时间,TREAT_START_TIME,特定治疗方案启动的时间点。,Treatment Start Time,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000559.01.01,东肝,抗病毒治疗开始时间,,SI1114987,,,,,日期/时间,,,,,yyyy-MM-dd,,,,,,
282,LI0000039,3f3a0885dad08f08ac1640ddcc706d44f7881e0ce832f35dacf8593eb3fe881e,Yes,入院记录,东肝,治疗与操作,治疗停止时间,TREAT_END_TIME,特定治疗方案结束的时间点。,Treatment End Time,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000560.01.01,东肝,抗病毒治疗停止时间,,SI1114988,,,,,日期/时间,,,,,yyyy-MM-dd,,,,,,
285,LI0000040,ef6b38103a9710cfe8560be5b4b7990848d2bf043bb14032aee720afc1414af2,Yes,入院记录,东肝,治疗与操作,术前操作治疗,PRE_TREATMENT,手术之前采用的治疗方法。,Preoperative Treatment Methods,术前治疗方式,东肝-肝癌,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000565.01.01,东肝,术前治疗_其他治疗,,SI1114993,,,,,文本,200,,,,,,,,,,
288,LI0000040,ef6b38103a9710cfe8560be5b4b7990848d2bf043bb14032aee720afc1414af2,Yes,入院记录,东肝,治疗与操作,术前操作治疗,PRE_TREATMENT,手术之前采用的治疗方法。,Preoperative Treatment Methods,术前治疗方式,东肝-肝癌,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000564.01.01,东肝,术前治疗,,SI1114992,,,,,枚举,,,,,,0=无;1=PEIT（酒精注射消融）;2=TACE/TAE（经动脉化疗栓塞）;3=PRFA（经皮射频消融）;4=PTCD（经皮肝穿刺胆道引流）;5=PVE（门静脉栓塞）;6=伽马刀,否,,,,
316,LI0000044,4bf5c7a865d87596abf1bd8b9bf65deb7fcde1256230c1118f89a75cf4148848,Yes,入院记录,东肝,分段,输血史,HBT,记录是否曾经接受过输血及其相关信息。,History of Blood Transfusion,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.03.11.0000005.01.01,卫健委;九院;东肝,输血史,患者既往输血史的详细描述,SI1107109,,,,,文本,1000,,,,,,,,,,
320,LI0000045,b3f72398b3e149941281e69f16d0abbc808701a931f608277298450fa336f3d6,Yes,入院记录,东肝,分段,主诉,CC,患者前来就医时的主要不适或问题。,Chief Complaint,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.05.00.0000299.01.01,卫健委,主诉,孕妇向医师描述的对自身本次随访的相关感受的主要记录,SI1106783,,,,,文本,100,,,,,,,,,,
