序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
99,LI0000014,0fa0141544be4d5b89acd174b60ad26a53e485aab3f6413783c904128cddef2d,Yes,病理检查,东肝,解剖与病理信息,病理学分型,PATH_CLASS,肿瘤的病理学类型（如肝细胞癌、胆管癌、混合型肝癌等）。,Pathological Classification,病理类型,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,NSCLC_BLLX,上海胸科,病理类型,,SI0100026,,,,,枚举,,,,,,1=鳞癌;2=腺癌;3=NSCLC-NOS;4=其它,否,,,,
101,LI0000014,0fa0141544be4d5b89acd174b60ad26a53e485aab3f6413783c904128cddef2d,Yes,病理检查,东肝,解剖与病理信息,病理学分型,PATH_CLASS,肿瘤的病理学类型（如肝细胞癌、胆管癌、混合型肝癌等）。,Pathological Classification,病理类型,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,NSCLC_QTBLLX,上海胸科,病理类型（其它）,,SI0100027,,,,,文本,500,,,,,,,,,,
110,LI0000015,21e24dffd3ae9e0d474fc9ba9b08675fd4e895e10bb22948dd898317a6471194,Yes,"病理,病理诊断,诊断,现病史","东肝,胸科",解剖与病理信息,组织学分型,HISTO_CLASS,肝癌的组织学形态，常见有细梁型、粗梁型、假腺管型和团片型等,Histological Classification,"组织学类型,病理组织学分类",东肝-肝癌,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,NSCLC_BLLX,上海胸科,病理类型,,SI0100026,,,,,枚举,,,,,,1=鳞癌;2=腺癌;3=NSCLC-NOS;4=其它,否,,,,
112,LI0000015,21e24dffd3ae9e0d474fc9ba9b08675fd4e895e10bb22948dd898317a6471194,Yes,"病理,病理诊断,诊断,现病史","东肝,胸科",解剖与病理信息,组织学分型,HISTO_CLASS,肝癌的组织学形态，常见有细梁型、粗梁型、假腺管型和团片型等,Histological Classification,"组织学类型,病理组织学分类",东肝-肝癌,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,NSCLC_QTBLLX,上海胸科,病理类型（其它）,,SI0100027,,,,,文本,500,,,,,,,,,,
118,LI0000016,14335afd0685749c7f55509798c98bfb7921abcf66d6b60097d92fb383c996d7,Yes,病理诊断,东肝,解剖与病理信息,细胞学类型,CYTO_TYPE,癌症的细胞学形态的分类,Cytological Type,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,NSCLC_QTBLLX,上海胸科,病理类型（其它）,,SI0100027,,,,,文本,500,,,,,,,,,,
124,LI0000016,14335afd0685749c7f55509798c98bfb7921abcf66d6b60097d92fb383c996d7,Yes,病理诊断,东肝,解剖与病理信息,细胞学类型,CYTO_TYPE,癌症的细胞学形态的分类,Cytological Type,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,NSCLC_BLLX,上海胸科,病理类型,,SI0100026,,,,,枚举,,,,,,1=鳞癌;2=腺癌;3=NSCLC-NOS;4=其它,否,,,,
156,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BZZJ,上海胸科,病灶直径,,SI0100071,,,,,小数,,5,2,mm,,,,,,,
172,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,FFBZDX,上海胸科,复发病灶大小,,SI0100114,,,,,小数,,5,2,mm,,,,,,,
179,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BZZCJ,上海胸科,病灶最长径（非淋巴结病灶）,,SI0100518,,,,,小数,,5,2,mm,,,,,,,
181,LI0000020,120603302fb4a83807bdd1819f862f8c981a1acb453d993def9ea76987c8b92f,Yes,"病理,病理诊断,诊断,现病史,病理检查","东肝,九院,胸科",解剖与病理信息,分化信息,DIFF_INFO,肿瘤细胞的分化程度（高分化、中分化、低分化、未分化），反映恶性程度。,Differentiation Information,分化程度,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BLFJ,上海胸科,病理分级,,SI0100028,,,,,枚举,,,,,,1=I 级;2=II 级;3=III 级;4=IV 级;9=未知;10=未做,否,,,,
196,LI0000021,a3664a50007965197907a9ba512f5eb3a1ac5a3e39b20389a113739a73a53c23,Yes,"病理,病理诊断,诊断,现病史","东肝,胸科",解剖与病理信息,AJCC分期,AJCC_STAGE,病理诊断原发性肝癌美国癌症联合委员会分期的详细描述,AJCC Staging,临床分期,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,LCFQ_SQ,上海胸科,术前临床分期,,SI0100125,,,,,枚举,,,,,,1=IA1;2=IA2;3=IA3;4=IB;5=IC;6=IIA;7=IIB;8=IIC;9=IIIA;10=IIIB;11=IIIC;12=VA;13=VB;14=VC;15=IVA;16=IVB;17=IVC;18=不详,否,,,,
198,LI0000021,a3664a50007965197907a9ba512f5eb3a1ac5a3e39b20389a113739a73a53c23,Yes,"病理,病理诊断,诊断,现病史","东肝,胸科",解剖与病理信息,AJCC分期,AJCC_STAGE,病理诊断原发性肝癌美国癌症联合委员会分期的详细描述,AJCC Staging,临床分期,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,LCFQ,上海胸科,非小细胞肺癌临床分期,,SI0100037,,,,,枚举,,,,,,1=IA1;2=IA2;3=IA3;4=IB;5=IC;6=IIA;7=IIB;8=IIC;9=IIIA;10=IIIB;11=IIIC;12=VA;13=VB;14=VC;15=IVA;16=IVB;17=IVC;18=不详,否,,,,
199,LI0000021,a3664a50007965197907a9ba512f5eb3a1ac5a3e39b20389a113739a73a53c23,Yes,"病理,病理诊断,诊断,现病史","东肝,胸科",解剖与病理信息,AJCC分期,AJCC_STAGE,病理诊断原发性肝癌美国癌症联合委员会分期的详细描述,AJCC Staging,临床分期,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,SFSQFQ,上海胸科,是否术前分期,,SI0100121,,,,,枚举,,,,,,1=是;0=否,否,,,,
204,LI0000023,e521cef29707dd645e2f83aae4c7bcc3d02e8285142e236ec9768d864701becf,Yes,"诊断,现病史",胸科,解剖与病理信息,NSCLC解剖定位,NSCLC_TYPE,按发生部位划分的NSCLC病理分型,NSCLC type,,,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,NSCLC_LX,上海胸科,NSCLC 类型,,SI0100038,,,,,枚举,,,,,,1=中央型;2=周围型;3=其他,否,,,,
